link_id,source_link_id,road_no,road_class,road_name,length_km,chainage_from_km,chainage_to_km,surface,pavement_class,maintenance_station,maintenance_region,start_x_coordinate_dd,start_y_coordinate_dd,end_x_coordinate_dd,end_y_coordinate_dd,link_id_correction_status
B202_Link04,B202_Link04,B202,B,Kabwoya - Kiziranfumbi - Buhimba,31.503,102.604,134.107,Bituminous,Paved,Hoima,Western,31.083591470000002,1.24623753,31.31238866,1.34680677,Source ID retained
B202_Link05,B202_Link05,B202,B,Buhimba - Hoima,10.573,134.107,144.68,Bituminous,Paved,Hoima,Western,31.31238866,1.34680677,31.35385614,1.43252309,Source ID retained
B203_Link01,B203_Link01,B203,B,Mubende - Kiboyo - Kakumiro,30.499,0.0,30.499,Bituminous,Paved,Mubende,Central,31.389098,0.56165897,31.32358396,0.78177968,Source ID retained
B203_Link02,B203_Link02,B203,B,Kakumiro - Nkondo - Kijaguza - Bulamagi- Kabaale swamp,77.0,30.499,107.499,Bituminous,Paved,Mubende,Central,31.32358396,0.78177968,31.28967,1.2102045,Source ID retained
B203_Link03,B203_Link03,B203,B,Kabaale Swamp - Buhimba,16.0,107.499,123.499,Bituminous,Paved,Hoima,Western,31.28964535,1.21021146,31.31217739,1.34674749,Source ID retained
B204_Link01,B204_Link01,B204,B,Masindi - Kisalizi,31.469,0.0,31.469,Bituminous,Paved,Masindi,Western,31.70284307,1.68065608,31.51670457,1.50366405,Source ID retained
B204_Link02,B204_Link02,B204,B,Kisalizi - Hoima,20.3,31.469,51.769,Bituminous,Paved,Hoima,Western,31.51670457,1.50366405,31.37138892,1.42169365,Source ID retained
B250_Link01,B250_Link01,B250,B,Atiak - Moyo,64.878431679,0.0,91.58,Bituminous,Paved,Moyo,Northern,32.12279873,3.26084199,31.81112986,3.54538264,Source ID retained
B250_Link02,B250_Link01,B250,B,Atiak - Moyo,64.878431679,0.0,91.58,Bituminous,Paved,Moyo,Northern,31.81112986,3.54538264,31.72354098,3.65374128,Resequenced to unique Road_No_LinkNN standard
B250_Link03,B250_Link02,B250,B,Moyo - Yumbe,65.954,91.58,157.534,Unsealed,Unpaved,Moyo,Northern,31.72354098,3.65374128,31.24756612,3.46995197,Resequenced to unique Road_No_LinkNN standard
B250_Link04,B250_Link03,B250,B,Yumbe - Manibe,77.123,157.534,234.657,Unsealed,Unpaved,Arua,Northern,31.24756612,3.46995197,30.92916092,3.06109017,Resequenced to unique Road_No_LinkNN standard
B251_Link01,B251_Link01,B251,B,Gulu - Olwiyo,61.808,0.0,61.808,Bituminous,Paved,Gulu,Northern,32.27922901,2.76120334,31.88576803,2.53687683,Source ID retained
B252_Link01,B252_Link01,B252,B,Lira - Puranga Bridge,42.9,0.0,42.9,Unsealed,Unpaved,Lira,Northern,32.90063672,2.24869997,32.94252467,2.60646202,Source ID retained
B252_Link02,B252_Link02,B252,B,Puranga Bridge - Corner Kilak - Pejule - Acholibur,61.6,42.9,104.5,Unsealed,Unpaved,Kitgum,Northern,32.94252467,2.60646202,32.9138638,3.14378822,Source ID retained
